   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77283,             0.49834,             0.53111,             0.25413,            0.047064,            0.027584,           0.0094738,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0067797,             0.37853,              0.5938,              3.7869,            0.089503,             0.50497,              5.8073,          0.00066047,             0.20559,             0.97902,            0.043527,             0.29523,              0.7412,                   3
             0.80228,             0.49537,             0.53471,             0.24945,            0.047949,            0.027776,             0.01006,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.084306,             0.80827,             0.10485,               5.624,             0.25672,             0.44886,              4.0702,          0.00045558,             0.77023,             0.68038,             0.19982,             0.42813,              0.1403,                   3
             0.79498,             0.49171,             0.51972,              0.2449,            0.047437,            0.027782,           0.0090011,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.074032,             0.11083,             0.76047,              5.0571,             0.73309,             0.83137,              8.1831,          0.00069932,             0.11546,             0.53409,             0.89335,            0.044353,             0.61588,                   3
             0.74401,              0.4682,             0.49692,             0.23642,            0.048829,            0.028002,            0.010407,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.027934,             0.29124,             0.75206,              20.826,              0.2318,             0.84647,             0.16805,          6.5919e-05,             0.57887,             0.62742,            0.079102,             0.97525,             0.49787,                   3
             0.73808,             0.46567,             0.47671,             0.21795,            0.050231,            0.027649,           0.0096569,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0093083,             0.35764,             0.51588,              37.338,              0.2237,             0.57303,              2.7662,          0.00020416,             0.34475,             0.22552,             0.80935,             0.62289,             0.83309,                   3
             0.68849,             0.41589,             0.42891,             0.19134,            0.052511,            0.029782,            0.011802,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.070944,             0.66369,             0.76194,              23.855,               0.528,             0.88962,              4.4496,          0.00033912,             0.76211,             0.24018,             0.68513,             0.43377,             0.15253,                   3
             0.65639,             0.37186,             0.37985,             0.16303,            0.056282,            0.033594,            0.013666,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088396,             0.77651,             0.44267,              17.981,             0.72099,             0.35561,              4.6366,          0.00087405,             0.87206,             0.98781,             0.32493,             0.92576,               0.865,                   3
              0.6972,             0.40404,             0.41848,             0.17573,            0.055413,            0.030884,            0.012709,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.069737,             0.21769,             0.34706,              42.356,             0.86719,             0.20529,              7.2575,          0.00030951,             0.68191,              0.9743,             0.58213,             0.79281,             0.10229,                   3
             0.78774,             0.49964,              0.5307,             0.25692,            0.046695,            0.027067,           0.0092778,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.08264,            0.054901,             0.64579,              6.0316,             0.63361,              0.1009,              6.9567,          0.00089484,             0.11702,             0.78909,             0.85258,             0.93408,             0.25124,                   3
             0.75551,             0.50508,             0.51823,              0.2466,             0.04775,            0.026546,            0.008594,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.083547,             0.42654,              0.5472,              21.707,             0.32395,             0.23413,              6.4681,          0.00052734,             0.11546,             0.48634,             0.16157,             0.06518,            0.073636,                   3
             0.69629,             0.44413,             0.45854,             0.20139,            0.051723,            0.029449,             0.01038,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.035731,             0.39673,             0.19809,              12.578,             0.45509,             0.88238,               5.881,          0.00090251,             0.58984,             0.84993,             0.65099,             0.83763,             0.43448,                   3
             0.72574,             0.46666,             0.47667,             0.21069,            0.050811,            0.028461,            0.010181,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040056,              0.4604,             0.89333,              33.108,             0.26214,             0.67269,              5.1296,          0.00082202,             0.24174,            0.070179,             0.68726,             0.88271,             0.49576,                   3
             0.82705,             0.56263,             0.60331,             0.31725,            0.041559,            0.025326,           0.0085895,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,              0.5186,             0.73071,            0.076374,              0.0902,               0.491,                   0,                   0,                   0,             0.57264,                   1,           0.0003123,            0.039032,                   3
             0.81186,             0.54295,             0.58413,             0.30948,            0.041707,            0.025437,           0.0086332,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,             0.68205,             0.32123,                   0,             0.18484,                 0.9,                   0,                   0,                   0,             0.55586,                   1,                 0.1,                 0.1,                   3
             0.81771,             0.55013,             0.59277,             0.31177,            0.041612,            0.025537,           0.0088216,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,              0.6057,             0.35587,                   0,                   0,             0.77229,                   0,                   0,                   0,                 0.5,             0.85834,             0.11393,                   0,                   3
             0.82234,             0.54598,             0.58863,             0.31141,            0.041646,            0.025471,           0.0082528,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,            0.041626,           0.0042338,             0.87764,                   0,                   0,                   0,                 0.5,                   1,             0.10136,                   0,                   3
